,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
0,reminds,remind,VERB,,Sing,3,Pres,,,1,['reminds'],[15537],1,1,Third-Person Present Tense Verb,it reminds me too much of the ar ##vn officers who were secretly working for the other side in vietnam .,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .
80,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],8,8,Third-Person Present Tense Verb,"( ku ##t is in southeastern iraq and has an overwhelmingly shi ##ite population , who are on the lookout for ba ##athi ##st sa ##bot ##eurs and willingly turn them in .","( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in ."
215,reports,report,VERB,,Sing,3,Pres,,,1,['reports'],[4311],9,9,Third-Person Present Tense Verb,al - sha ##r ##q al - aw ##sat reports that a key eye ##wi ##tness in the trial of saddam hussein for a 1982 massacre at du ##ja ##il has died .,Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .
319,begins,begin,VERB,,Sing,3,Pres,,,1,['begins'],[4269],2,2,Third-Person Present Tense Verb,the trial begins again nov . 28 .,The trial begins again Nov. 28 .
333,continues,continue,VERB,,Sing,3,Pres,,,1,['continues'],[4247],5,5,Third-Person Present Tense Verb,"in baghdad the fighting still continues in several areas , mostly in sad ##r city and ad ##ham ##iya .","In Baghdad the fighting still continues in several areas , mostly in Sadr city and Adhamiya ."
367,blocks,block,NOUN,,Plur,,,,,1,['blocks'],[5991],5,5,Plural Noun,"they are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people .","They are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people ."
556,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],2,2,Third-Person Present Tense Verb,"and there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .","And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land ."
780,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],8,8,Third-Person Present Tense Verb,"everyone is app ##re ##hen ##sive , there is some talk that april 9th and 10th are going to be bloody days .","Everyone is apprehensive , there is some talk that April 9th and 10th are going to be bloody days ."
900,people,people,NOUN,,Plur,,,,,0,['people'],[2111],1,1,Plural Noun,"most people have n ' t gone to work the last few days , although it seems that the rest of baghdad is ' normal ' ( if you can define what normal is ) .","Most people have n't gone to work the last few days , although it seems that the rest of Baghdad is ' normal ' ( if you can define what normal is ) ."
1172,irritates,irritate,VERB,,Sing,3,Pres,,,1,"['ir', '##rita', '##tes']","[20868, 17728, 4570]",1,3,Third-Person Present Tense Verb,"what ir ##rita ##tes me is this sudden false ' solidarity ' between sunni and shi ' it ##e cleric ##s , we all know that they would be glad to get at each other s throat ##s when they have the chance , and shia cleric ##s were describing fall ##uj ##an insurgents as ' ba ' at ##his ##ts ' , ' saddam ##ites ' , ' wah ##hab ##is ' , and ' terrorists ' just a few days ago .","What irritates me is this sudden false ' solidarity ' between Sunni and Shi'ite clerics , we all know that they would be glad to get at each other s throats when they have the chance , and Shia clerics were describing Fallujan insurgents as ' Ba'athists ' , ' Saddamites ' , ' Wahhabis ' , and ' terrorists ' just a few days ago ."
1842,myths,myth,NOUN,,Plur,,,,,1,['myths'],[17218],5,5,Plural Noun,"one of the most widespread myths of recent times is that the cher ##nob ##yl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .","One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation ."
2220,cancers,cancer,NOUN,,Plur,,,,,1,['cancers'],[25409],8,8,Plural Noun,"the dramatic increase in radiation - induced thyroid cancers in children and adolescents in belarus , russia , and ukraine , which have been observed since 1991 , continues to this day .","The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day ."
2385,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],1,1,Third-Person Present Tense Verb,there is a lot to learn about cher ##nob ##yl .,There is a lot to learn about Chernobyl .
2403,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",5,6,Genitive Case,the cher ##nob ##yl children ' s project ( http : / / www . adi ##cc ##p . org / home / default . as ##p ) offers several ways to help the children of that region .,The Chernobyl Children 's Project ( http://www.adiccp.org/home/default.asp ) offers several ways to help the children of that region .
2460,children,child,NOUN,,Plur,,,,,3,['children'],[2336],13,13,Plural Noun,s . and i have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .
2590,makes,make,VERB,,Sing,3,Pres,,,1,['makes'],[3084],14,14,Third-Person Present Tense Verb,"the urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings i have .","The urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings I have ."
2758,shelters,shelter,VERB,,Sing,3,Pres,,,1,['shelters'],[17177],10,10,Third-Person Present Tense Verb,"mma also captured the northwest frontier province , which probably shelters bin laden and al - za ##wa ##hir ##i , and is in a joint government of bal ##uchi ##stan province , also on the afghanistan border .","MMA also captured the Northwest Frontier Province , which probably shelters Bin Laden and al - Zawahiri , and is in a joint government of Baluchistan Province , also on the Afghanistan border ."
2860,for,for,ADP,,,,,,,0,['for'],[2005],19,19,Causal-Final Case,"on the one hand , it should pressure mu ##sha ##rra ##f to take off his uniform and run for president in a fair election , and to repeal the contentious "" legal framework order "" that essentially per ##pet ##uate ##s his dictatorship .","On the one hand , it should pressure Musharraf to take off his uniform and run for president in a fair election , and to repeal the contentious "" Legal Framework Order "" that essentially perpetuates his dictatorship ."
3094,generates,generate,VERB,,Sing,3,Pres,,,1,['generates'],[19421],3,3,Third-Person Present Tense Verb,"the kashmir issue generates far more terrorism , and even the threat of nuclear war , than iraq ever did .","The Kashmir issue generates far more terrorism , and even the threat of nuclear war , than Iraq ever did ."
3178,owes,owe,VERB,,Sing,3,Pres,,,1,['owes'],[24381],1,1,Third-Person Present Tense Verb,"israel owes the united states at least this much , in this crisis , to cease mil ##ita ##rily unnecessary pro ##vocation ##s and establish genuine peace .","Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace ."
3298,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],12,12,Third-Person Present Tense Verb,"the problem of mo ##lli ##fying the sunni ##s , though , has to be solved to avoid giving al - qaeda an en ##tree .","The problem of mollifying the Sunnis , though , has to be solved to avoid giving al - Qaeda an entrée ."
