,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
0,has,have,VERB,,Sing,3,Pres,Ind,,-1,['has'],[2038],8,8,Third-Person Present Tense Verb,"( ku ##t is in southeastern iraq and has an overwhelmingly shi ##ite population , who are on the lookout for ba ##athi ##st sa ##bot ##eurs and willingly turn them in .","( Kut is in southeastern Iraq and has an overwhelmingly Shiite population , who are on the lookout for Baathist saboteurs and willingly turn them in ."
27,is,be,VERB,,Sing,3,Pres,Ind,,0,['is'],[2003],2,2,Third-Person Present Tense Verb,"and there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .","And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land ."
55,civilians,civilian,NOUN,,Plur,,,,,1,['civilians'],[9272],25,25,Plural Noun,"even the ip and ic ##dc have abandoned the neighbourhood , and those are trained and armed , so do n ' t expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n ' t bomb them , and also how are american soldiers going to distinguish the brave and valiant civilians from the fed ##ay ##een ?","Even the IP and ICDC have abandoned the neighbourhood , and those are trained and armed , so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them , and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen ?"
115,irritates,irritate,VERB,,Sing,3,Pres,,,1,"['ir', '##rita', '##tes']","[20868, 17728, 4570]",1,3,Third-Person Present Tense Verb,"what ir ##rita ##tes me is this sudden false ' solidarity ' between sunni and shi ' it ##e cleric ##s , we all know that they would be glad to get at each other s throat ##s when they have the chance , and shia cleric ##s were describing fall ##uj ##an insurgents as ' ba ' at ##his ##ts ' , ' saddam ##ites ' , ' wah ##hab ##is ' , and ' terrorists ' just a few days ago .","What irritates me is this sudden false ' solidarity ' between Sunni and Shi'ite clerics , we all know that they would be glad to get at each other s throats when they have the chance , and Shia clerics were describing Fallujan insurgents as ' Ba'athists ' , ' Saddamites ' , ' Wahhabis ' , and ' terrorists ' just a few days ago ."
182,bodies,body,NOUN,,Plur,,,,,2,['bodies'],[4230],46,46,Plural Noun,"az ##zam ##an newspaper mentioned an announcement signed by abdul aziz bin mu ##q ##rin , an al - qaeda operative in saudi arabia on an islamic website ' the voice of jihad ' , in which he stated that "" although mu ##tila ##ting dead bodies is not originally permitted in islam , but in this case it is allowed if muslims use it against in ##fide ##ls to deter them from committing criminal actions "" .","Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" ."
252,makes,make,VERB,,Sing,3,Pres,,,1,['makes'],[3084],14,14,Third-Person Present Tense Verb,"the urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings i have .","The urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings I have ."
324,hoists,hoist,VERB,,Sing,3,Pres,,,1,"['ho', '##ists']","[7570, 5130]",28,29,Third-Person Present Tense Verb,"the problem with this argument is that bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just ho ##ists him by his own pet ##ard .","The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard ."
359,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",19,20,Genitive Case,"i still remember him stu ##ttering about "" the general , "" unable to remember mu ##sha ##rra ##f ' s name .","I still remember him stuttering about "" the General , "" unable to remember Musharraf 's name ."
395,fighters,fighter,NOUN,,Plur,,,,,1,['fighters'],[7299],10,10,Plural Noun,"it is estimated to have some 5 , 000 armed fighters , and they have pursued attacks against israeli forces to com ##pel them to withdraw from the she ##ba ##a farms , a sl ##iver of syrian territory that israel annexed after the 1967 war .","It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war ."
477,for,for,ADP,,,,,,,0,['for'],[2005],1,1,Causal-Final Case,"unfortunately for those eager to indefinitely carry on with the lucrative business of conflict resolution in south asia , per ##vez mu ##sha ##rra ##f has now called colin powell ' s bluff , challenging him to deliver on his frequent statements implying that the indians jump to his commands .","Unfortunately for those eager to indefinitely carry on with the lucrative business of conflict resolution in South Asia , Pervez Musharraf has now called Colin Powell 's bluff , challenging him to deliver on his frequent statements implying that the Indians jump to his commands ."
