,Word,Lemma,POS,Case,Number,Person,Tense,Mood,Voice,Form-Lemma Difference,Subtokens,Subtoken IDs,Subtoken Start Index,Subtoken End Index,Target Class,BERT Subtokenized Sentence,Sentence
0,into,into,ADP,,,,,,,0,['into'],[2046],28,28,Translative Case,"the de ##ba ##athi ##fication commission had been pushed by ahmad cha ##lab ##i and his iraqi national congress very hard , and had pushed many sunni arabs into the arms of the guerrillas .","The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas ."
150,into,into,ADP,,,,,,,0,['into'],[2046],14,14,Translative Case,"on the other hand , the us should strong - arm india and pakistan into a final settlement of the kashmir issue .","On the other hand , the US should strong - arm India and Pakistan into a final settlement of the Kashmir issue ."
219,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",1,2,Genitive Case,"sharon ' s hard line has worked in tandem with hamas ' s terrorism to rat ##chet up tensions further and further , which spill over into the muslim world and serve as a recruiting tool for al - qaeda in its search for agents willing to hit the united states .","Sharon 's hard line has worked in tandem with Hamas 's terrorism to ratchet up tensions further and further , which spill over into the Muslim world and serve as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States ."
611,for,for,ADP,,,,,,,0,['for'],[2005],13,13,Causal-Final Case,the americans have to put away their free - market fe ##tish ##ism for a while and find ways of creating jobs and pumping money into iraqi households .,The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .
773,into,into,ADP,,,,,,,0,['into'],[2046],8,8,Translative Case,that private wealth can easily be funnel ##ed into aid for the palestinians and for lebanese shi ##ites .,That private wealth can easily be funneled into aid for the Palestinians and for Lebanese Shiites .
824,into,into,ADP,,,,,,,0,['into'],[2046],6,6,Translative Case,"while india is ready to enter into a "" defense cooperation agreement "" with sri lanka , it is wary of being drawn into any military involvement in the island nation ' s two decades - old civil war that has seen violent strife between ethnic tamil ##s and the sin ##hale ##se majority - leaving over 60 , 000 dead on both sides .","While India is ready to enter into a "" defense cooperation agreement "" with Sri Lanka , it is wary of being drawn into any military involvement in the island nation 's two decades - old civil war that has seen violent strife between ethnic Tamils and the Sinhalese majority - leaving over 60,000 dead on both sides ."
1650,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",2,3,Genitive Case,"as pakistan ' s president had been telling the united states he was "" forced "" into taking a hawk ##ish line on india precisely by the likes of rahman , this was an embarrassment .","As Pakistan 's president had been telling the United States he was "" forced "" into taking a hawkish line on India precisely by the likes of Rahman , this was an embarrassment ."
1888,for,for,ADP,,,,,,,0,['for'],[2005],10,10,Causal-Final Case,"simultaneously , new delhi would ensure a degree of autonomy for the state that would help cut popular support off from jihad ##is attempting to convert kashmir into a second afghanistan .","Simultaneously , New Delhi would ensure a degree of autonomy for the state that would help cut popular support off from jihadis attempting to convert Kashmir into a second Afghanistan ."
2074,for,for,ADP,,,,,,,0,['for'],[2005],3,3,Causal-Final Case,"this writer has for years regarded the best solution to the kashmir problem as being the tri ##fur ##cation of the indian part of the state into a hindu - majority jammu , a buddhist - dominated lad ##akh and the overwhelmingly muslim kashmir valley , with the third state given little of taxpayers ' money but substantial autonomy .","This writer has for years regarded the best solution to the Kashmir problem as being the trifurcation of the Indian part of the state into a Hindu - majority Jammu , a Buddhist - dominated Ladakh and the overwhelmingly Muslim Kashmir Valley , with the third state given little of taxpayers ' money but substantial autonomy ."
2416,wrinkles,wrinkle,NOUN,,Plur,,,,,1,"['wr', '##inkles']","[23277, 28562]",2,3,Plural Noun,"despite many wr ##inkles , india remains a part - democracy and merely signing on to a piece of paper that calls for an independent kashmir does not get you into the trouble that writing an op - ed piece against sonia gandhi or ata ##l be ##hari va ##j ##pa ##ye ##e would instantly .","Despite many wrinkles , India remains a part - democracy and merely signing on to a piece of paper that calls for an independent Kashmir does not get you into the trouble that writing an op - ed piece against Sonia Gandhi or Atal Behari Vajpayee would instantly ."
2710,into,into,ADP,,,,,,,0,['into'],[2046],11,11,Translative Case,"first driving out the americans , then fighting the shia back into submission ( as in 1991 ) .","First driving out the Americans , then fighting the Shia back into submission ( as in 1991 ) ."
2767,into,into,ADP,,,,,,,0,['into'],[2046],11,11,Translative Case,"because of such talk , po ##sa ##da has been taken into custody by immigration officials .","Because of such talk , Posada has been taken into custody by Immigration officials ."
2827,for,for,ADP,,,,,,,0,['for'],[2005],8,8,Causal-Final Case,"terre ##ll , a cia asset originally recruited for the contra effort , identifies the man attempting to recruit him into the philippine scheme as oliver north . . .","Terrell , a CIA asset originally recruited for the Contra effort , identifies the man attempting to recruit him into the Philippine scheme as Oliver North ..."
2962,into,into,ADP,,,,,,,0,['into'],[2046],9,9,Translative Case,"over the past decade , bangladesh has steadily moved into a state of law ##lessness .","Over the past decade , Bangladesh has steadily moved into a state of lawlessness ."
2992,arrests,arrest,NOUN,,Plur,,,,,1,['arrests'],[17615],3,3,Plural Noun,"a pattern of arrests and seizures indicate that arms are brought by the lt ##te from laos , cambodia and thailand into chi ##tta ##gong , from where they are transported northward by land to bhutan .","A pattern of arrests and seizures indicate that arms are brought by the LTTE from Laos , Cambodia and Thailand into Chittagong , from where they are transported northward by land to Bhutan ."
3230,'s,'s,PART,,,,,,,0,"[""'"", 's']","[1005, 1055]",10,11,Genitive Case,"the route from kali ##kh ##ola in bhutan to cox ' s ba ##zar passes through northern bengal , assam and meg ##hala ##ya , and on into chi ##tta ##gong .","The route from Kalikhola in Bhutan to Cox 's Bazar passes through northern Bengal , Assam and Meghalaya , and on into Chittagong ."
3254,days,day,NOUN,,Plur,,,,,1,['days'],[2420],2,2,Plural Noun,also several days before the elections pakistan closed the border crossing point at cha ##man in bal ##uchi ##stan which is a key entry point for the taliban into afghanistan .,Also several days before the elections Pakistan closed the border crossing point at Chaman in Baluchistan which is a key entry point for the Taliban into Afghanistan .
